Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area
Female,No,0,Graduate,No,350000,0,11000000,180,1,Urban
Male,No,0,Graduate,No,151600,191700,3500000,360,1,Urban
Male,No,3+,Not Graduate,No,350800,261900,18000000,360,1,Urban
Male,No,0,Not Graduate,No,179200,0,11700000,360,1,Semiurban
Female,No,2,Graduate,No,390000,0,13900000,360,1,Urban
Female,Yes,,Not Graduate,No,416600,140000,14000000,360,,Semiurban
Male,No,0,Not Graduate,,969900,0,18000000,360,1,Urban
Male,Yes,3+,Not Graduate,No,566700,380900,11800000,360,0,Rural
Male,No,1,Graduate,No,766600,292500,10800000,360,1,Rural
Male,No,2,Graduate,,210700,0,11700000,480,0,Semiurban
Male,Yes,0,Graduate,No,572000,0,12300000,360,1,Urban
Male,Yes,0,Graduate,No,445600,0,9900000,360,1,Rural
Male,No,0,Graduate,No,340000,182000,8400000,360,1,Urban
Male,Yes,2,Graduate,No,243100,81800,13500000,360,0,Semiurban
Male,Yes,0,Graduate,No,350800,199300,13500000,360,1,Semiurban
Male,Yes,2,Graduate,No,376500,351000,11000000,84,1,Urban
Male,No,2,Not Graduate,No,350000,0,0,360,1,Rural
Male,Yes,0,Graduate,No,315000,176000,4600000,480,1,Semiurban
Male,No,0,Graduate,No,875000,0,16500000,240,,Semiurban
Female,No,3+,Graduate,No,307600,0,23500000,360,1,Semiurban
Male,Yes,0,Graduate,No,175000,0,11500000,360,1,Rural
Male,Yes,2,Not Graduate,No,750000,400000,10200000,360,1,Semiurban
Male,No,3+,Not Graduate,No,415800,0,15000000,360,1,Semiurban
Male,Yes,2,Graduate,No,1308300,0,13000000,360,0,Semiurban
Female,No,2,Graduate,Yes,408300,0,15000000,360,1,Urban
Male,Yes,2,Not Graduate,No,308900,0,7600000,360,0,Semiurban
Male,Yes,3+,Graduate,No,163500,176000,12000000,360,,Urban
Male,No,0,Graduate,No,397200,209400,14100000,360,0,Urban
Male,Yes,1,Graduate,No,500000,0,5000000,360,,Urban
Male,No,0,Not Graduate,Yes,241500,0,15800000,360,0,Rural
Male,Yes,0,Not Graduate,No,1089000,0,15100000,360,1,Urban
Female,Yes,0,Graduate,No,647800,0,15000000,360,1,Rural
Male,No,1,Graduate,Yes,210700,294500,5900000,360,0,Rural
Female,No,3+,Graduate,No,114100,141100,2800000,360,0,Semiurban
Female,No,,Graduate,No,374700,29600,9000000,360,1,Rural
Male,No,0,Not Graduate,No,350000,0,7600000,360,1,Rural
Male,No,0,Graduate,No,436300,0,18800000,360,1,Urban
Male,Yes,2,Graduate,,224300,1166600,9000000,360,,Rural
Male,Yes,0,Graduate,Yes,260000,176000,10600000,360,1,Rural
Male,Yes,3+,Graduate,No,408300,0,12000000,360,1,Rural
Male,No,0,Graduate,No,1600000,0,6400000,360,1,Semiurban
Male,Yes,0,Graduate,,1250000,0,7000000,360,1,Rural
Male,No,0,Graduate,No,356400,0,12400000,180,1,Urban
Female,Yes,,Graduate,No,350000,0,12000000,360,1,Urban
Female,No,0,Graduate,No,356400,0,10000000,360,1,Semiurban
Male,Yes,0,Graduate,No,350800,239300,18500000,360,1,Urban
Male,Yes,0,Graduate,No,350000,0,13000000,360,1,Semiurban
Female,Yes,0,Not Graduate,,270800,0,13800000,360,1,Urban
Male,Yes,1,Graduate,No,379100,0,6800000,300,1,Urban
Male,Yes,0,Graduate,Yes,224100,357500,11600000,360,1,Semiurban
Male,Yes,0,Graduate,No,292500,228600,14400000,360,,Semiurban
Male,No,0,Graduate,Yes,350000,0,15000000,360,0,Urban
Male,Yes,0,Graduate,No,682500,0,12500000,360,1,Semiurban
Male,Yes,3+,Graduate,No,920000,0,12000000,360,1,Urban
Male,Yes,2,Not Graduate,,210700,0,11300000,360,1,Rural
Male,No,1,Graduate,No,415800,0,10800000,360,1,Semiurban
Male,No,0,Not Graduate,No,2479700,141100,13800000,360,1,Urban
Male,Yes,2,Graduate,No,117300,0,11000000,360,1,Urban
Female,Yes,0,Graduate,No,531600,339600,21200000,,1,Urban
Male,Yes,0,Not Graduate,No,335000,196600,11000000,360,0,Semiurban
Male,Yes,0,Graduate,No,448300,0,9900000,360,1,Rural
Male,No,0,Graduate,Yes,562900,70000,17000000,360,0,Semiurban
Male,Yes,0,Graduate,No,0,0,11400000,360,1,Semiurban
,Yes,0,Graduate,No,415800,0,13800000,180,0,Semiurban
Male,No,0,Not Graduate,No,343600,0,12000000,360,1,Rural
Male,No,0,Graduate,No,379100,0,10000000,360,0,Urban
Male,No,0,Graduate,No,215700,0,13000000,480,1,Semiurban
,Yes,2,Graduate,No,289600,0,20000000,360,1,Semiurban
Male,Yes,0,Not Graduate,No,236000,266600,10600000,360,0,Semiurban
Male,No,3+,Not Graduate,No,408300,125000,11700000,360,1,Urban
Male,Yes,,Graduate,No,388700,0,8000000,300,1,Urban
Male,Yes,2,Graduate,No,333300,0,29000000,360,1,Urban
Male,Yes,0,Graduate,No,695800,0,10000000,360,0,Urban
Male,Yes,1,Graduate,Yes,479600,0,6500000,360,1,Urban
Male,No,1,Graduate,No,265400,266600,8000000,360,1,Rural
Female,No,0,Graduate,No,326800,0,6500000,360,,Urban
Female,Yes,3+,Graduate,No,408300,335500,10200000,360,1,Urban
Male,Yes,0,Not Graduate,No,114100,0,6000000,360,1,Semiurban
Male,Yes,0,Not Graduate,No,583300,0,11200000,360,1,Semiurban
Male,No,0,Graduate,No,286800,325000,15000000,360,1,Urban
Female,Yes,0,Not Graduate,No,394300,176000,10000000,480,1,Urban
Male,Yes,0,Graduate,No,470900,0,18700000,360,0,Rural
Male,Yes,2,Graduate,No,1217300,0,18700000,360,1,Urban
Male,Yes,0,Graduate,,416300,0,10400000,360,1,Rural
Male,Yes,0,Not Graduate,No,357100,314800,20000000,360,1,Urban
Male,Yes,2,Not Graduate,No,203800,0,7000000,360,1,Semiurban
Male,Yes,0,Graduate,No,630000,0,12500000,360,1,Rural
Male,Yes,0,Graduate,No,159900,339600,8800000,120,0,Semiurban
Male,Yes,0,Graduate,No,363400,0,15000000,360,1,Semiurban
Male,No,3+,Not Graduate,No,1000000,299900,10400000,360,1,Urban
Male,Yes,0,Not Graduate,No,496000,275500,8100000,360,1,Urban
Male,Yes,2,Graduate,No,216600,0,19700000,360,0,Rural
Male,Yes,0,Graduate,No,424300,0,17000000,360,0,Rural
Male,Yes,0,Graduate,,394300,155800,11600000,360,1,Semiurban
Male,No,0,Graduate,No,197200,200000,9000000,360,0,Rural
Male,Yes,0,Graduate,No,448300,0,5000000,300,1,Rural
Male,Yes,0,Not Graduate,No,421300,335500,15500000,360,0,Semiurban
,Yes,0,Not Graduate,No,278300,483100,13900000,360,1,Urban
Male,Yes,0,Graduate,Yes,240000,0,12500000,240,0,Semiurban
Male,No,0,Graduate,Yes,969900,0,18300000,360,1,Semiurban
Male,No,1,Graduate,No,318600,292500,12400000,360,1,Semiurban
Female,No,0,Not Graduate,No,800000,0,7700000,360,1,Semiurban
Male,No,0,Not Graduate,Yes,241500,29200,24000000,360,1,Rural
Female,No,2,Graduate,No,350800,424600,11600000,360,1,Rural
Male,Yes,1,Graduate,No,916700,0,30000000,360,0,Semiurban
Male,Yes,0,Graduate,No,251300,0,18500000,360,1,Rural
Male,No,0,Graduate,No,685800,0,8100000,180,1,Semiurban
Male,Yes,0,Not Graduate,No,450000,0,5700000,360,1,Rural
Male,No,2,Graduate,,476800,0,11700000,180,,Urban
,Yes,0,Not Graduate,No,531400,0,14100000,360,1,Urban
Male,Yes,0,Graduate,No,428300,0,9600000,360,0,Urban
Male,No,0,Graduate,No,466600,0,36000000,360,1,Urban
Female,Yes,1,Graduate,Yes,266600,213900,9000000,360,1,Rural
Male,No,0,Graduate,No,450000,115200,14300000,360,1,Semiurban
Male,Yes,2,Graduate,No,426000,190200,20000000,300,1,Rural
Male,Yes,2,Graduate,No,385400,0,13300000,360,1,Urban
Female,No,3+,Not Graduate,No,3200000,100000,41200000,360,,Semiurban
Male,Yes,0,Graduate,No,241200,190200,14300000,360,1,Urban
Male,Yes,0,Graduate,No,313200,0,14300000,360,1,Semiurban
Male,Yes,,Graduate,No,433300,0,55000000,360,1,Rural
Male,Yes,3+,Graduate,No,616600,0,13000000,180,1,Urban
Male,No,2,Graduate,No,433300,0,13000000,360,1,Rural
Female,Yes,2,Not Graduate,No,466700,0,12100000,180,1,Semiurban
Female,No,0,Graduate,No,250000,0,12000000,360,1,Rural
Male,No,0,Not Graduate,Yes,159900,0,20000000,360,1,Rural
Male,Yes,0,Not Graduate,No,285800,376900,18700000,360,1,Urban
Male,Yes,3+,Not Graduate,No,304200,25000,10800000,360,1,Urban
Male,No,0,Graduate,,558300,0,26000000,360,1,Urban
Male,No,0,Graduate,No,511900,18700,20800000,360,1,Semiurban
Female,Yes,0,Graduate,No,583300,0,22500000,360,0,Urban
Male,Yes,0,Graduate,,452100,0,11000000,360,0,Semiurban
Male,No,2,Graduate,No,327100,0,18900000,6,1,Urban
Female,No,0,Not Graduate,,188800,0,11000000,360,0,Semiurban
Male,Yes,2,Not Graduate,No,476800,402900,12400000,360,1,Semiurban
Male,Yes,2,Graduate,No,785900,0,12000000,360,,Urban
Male,Yes,0,Graduate,No,695800,0,8000000,360,1,Urban
Male,Yes,,Graduate,No,188800,0,10800000,360,1,Rural
Male,Yes,2,Graduate,No,159600,108300,12000000,360,1,Semiurban
Male,No,0,Not Graduate,No,583300,0,17600000,360,1,Rural
Male,Yes,0,Graduate,No,254500,0,20000000,360,1,Semiurban
Male,Yes,2,Graduate,No,433400,0,8800000,360,1,Rural
Male,Yes,0,Graduate,No,400900,202400,21400000,360,1,Rural
Male,Yes,0,Not Graduate,No,540000,0,14300000,360,,Urban
,No,0,Graduate,,159600,299900,10000000,300,1,Urban
Male,Yes,0,Not Graduate,No,318800,434700,13800000,360,1,Rural
Male,Yes,3+,Graduate,No,301700,0,12500000,360,0,Rural
Male,Yes,0,Graduate,No,350000,0,20000000,360,1,Semiurban
Male,Yes,0,Graduate,No,416700,0,9300000,360,1,Semiurban
Male,No,,Graduate,No,466600,177700,25600000,360,1,Urban
Male,Yes,0,Graduate,No,175000,438000,12500000,360,,Urban
Male,No,1,Graduate,Yes,210700,0,13700000,360,,Semiurban
Male,Yes,1,Graduate,Yes,277900,357500,17000000,360,0,Urban
Female,No,0,Not Graduate,No,318900,0,39000000,360,0,Rural
Male,Yes,0,Graduate,,175000,0,13100000,360,1,Urban
Female,No,0,Graduate,No,433300,0,10000000,360,1,Rural
Female,Yes,2,Graduate,No,312500,0,10000000,360,1,Rural
Male,Yes,3+,Graduate,No,318900,0,18600000,360,1,Semiurban
Male,Yes,0,Graduate,No,216500,402900,12000000,360,0,Semiurban
Female,Yes,0,Graduate,No,175000,208800,11600000,60,1,Semiurban
Male,Yes,0,Not Graduate,No,433300,0,16200000,360,1,Rural
Male,Yes,0,Graduate,No,176200,339600,7000000,360,0,Semiurban
Female,No,0,Graduate,,900000,0,11900000,360,1,Rural
Female,No,0,Graduate,No,416600,0,12500000,360,0,Rural
Male,No,0,Not Graduate,No,175000,266700,11400000,360,1,Rural
Male,Yes,2,Graduate,No,428300,0,9900000,360,0,Rural
Male,Yes,3+,Graduate,,274700,0,19200000,180,1,Semiurban
Male,No,0,Graduate,,844900,0,18000000,360,1,Urban
Male,Yes,0,Not Graduate,,766600,135000,9200000,360,1,Rural
Male,No,3+,Graduate,No,250000,0,18700000,360,1,Urban
Male,Yes,2,Graduate,,408300,0,4600000,6,0,Urban
Female,No,0,Graduate,No,296400,510500,18000000,360,0,Rural
Male,Yes,1,Not Graduate,No,400000,0,12500000,360,1,Rural
Male,Yes,0,Not Graduate,No,117300,396700,18500000,360,1,Rural
Male,Yes,0,Not Graduate,,159600,325000,18000000,480,1,Rural
Male,Yes,2,Not Graduate,No,1491100,0,7800000,360,1,Urban
Male,No,0,Graduate,No,900000,196300,11000000,60,1,Urban
Female,Yes,0,Graduate,No,307600,0,8000000,360,1,Semiurban
Male,No,0,Graduate,No,397200,111000,18500000,360,1,Urban
Male,Yes,0,Graduate,No,630000,0,21200000,360,1,Urban
Female,Yes,0,Not Graduate,No,388100,0,12300000,180,1,Semiurban
Male,Yes,0,Graduate,No,470900,0,12200000,360,1,Rural
Male,No,3+,Graduate,No,789500,273800,10800000,360,1,Rural
Male,No,3+,Graduate,No,327100,273800,18000000,12,1,Urban
Male,No,0,Graduate,No,402800,0,11000000,360,1,Urban
Male,No,0,Graduate,No,436400,0,15000000,360,1,Urban
Male,Yes,0,Graduate,Yes,364400,412300,6000000,360,1,Rural
Male,No,0,Graduate,,647800,241700,17000000,360,,Semiurban
Male,No,2,Graduate,No,505800,0,17000000,360,1,Urban
Male,Yes,0,Graduate,No,870600,182000,6000000,360,1,Rural
Male,Yes,0,Graduate,No,262300,0,13500000,360,1,Urban
Male,Yes,2,Graduate,No,300700,154200,18500000,360,1,Rural
,Yes,2,Graduate,No,350000,339600,13500000,360,1,Urban
Male,No,1,Graduate,No,2479700,0,11200000,360,1,Rural
Male,Yes,,Graduate,No,540000,0,12000000,360,1,Urban
Male,Yes,3+,Graduate,No,496800,0,10200000,360,1,Rural
Female,Yes,0,Graduate,No,386300,0,10000000,360,0,Rural
Male,Yes,2,Graduate,No,400900,233300,11000000,360,1,Urban
,Yes,3+,Graduate,No,500000,0,13000000,360,1,Semiurban
Male,Yes,2,Graduate,No,226800,428800,12000000,360,1,Rural
Male,Yes,0,Not Graduate,Yes,491200,0,10400000,360,1,Rural
Male,No,3+,Graduate,No,350000,0,13400000,360,0,Rural
Male,No,0,Not Graduate,,695800,427500,12200000,360,1,Urban
